Review,Price,Quality,Delivery Cost,Packaging,Overall Sentiment
these pads worked well i think they absorbed tge solution pretty quickly and had to be replaced a little more often than tge brand name but worth the lesser price,very good,very good,-,-,very good
good quality works as well as name brand,-,very good,-,-,very good
gave it 4 stars because it doesnt have the scrubby strip on the bottom like the swifter ones do otherwise they work great good value and still mops the floor fine,very good,very good,-,-,very good
work every bit as well as swiffer but are cheaper though they are creeping up much more in price now so ill be watching,bad,bad,-,-,bad
works as well as swiffer brand without the cost,good,good,good,-,good
all that i expected,-,-,-,-,-
cheaper than swifter,neutral,-,-,-,neutral
works great,-,very good,-,-,very good
good old fashioned dish soap i like it its easy on the hands cleans very well and cheaper then the rest that make me smiling face with smiling eyes,very good,very good,-,-,very good
i love the scent of this dish soap aloe and citrus i hope its not being discontinued,-,very good,-,-,very good
and the scent is fine how do you spell relief?,-,-,-,-,-
this was just basic dishwashing liquid not as good as other types from same brand this one does not make as many bubbles suds you have to use an excessive amount in order to get any would not purchase this again other types fragrances from same brand but just not this one came exactly as shoe and delivered on time with no leaking,-,poor,poor,-,poor
this works very well not small either smells very nice excellent cost,very good,very good,very good,-,very good
smells great will buy again smiling facebeaming face with smiling eyes and love the price,very good,very good,-,-,very good
ive been using this dish soap for about 10 years it is the only one that does not leave a mildew smell on the sponge,-,-,-,-,-
these gloves work as expected but be warned theyre kinda small they fit me alright but my mom who definitely has piano player hands feels like theyre too small if youre a guy or you just have larger hands these probably wont fit,-,very good,-,-,very good
best clubs especially for the price they dont rip so easy when you put them on i could put these on 97 of the time without ripping them theyre for light duty use even great for light mechanic work nothing too rough they hold up pretty well not bad for the low low pricestar️star️star️star️star️,very good,very good,very good,-,very good
these gloves offer a convenient and hygienic solution for various tasks we use it when we clean knead bread etc,-,very good,-,-,very good
the gloves are great they just run small i normally wear a medium but next time i will get a large,-,good,good,-,good
had an issue with product with i have not had in the past but the seller reached out to communicate and was very helpful was not expecting a refund but i appreciate the seller being concerned i have purchased in the past many times and gloves have proven to be great quality and do not break easily one of the few brands that fit my hands seller was very kind and i feel this was a one off situation,-,very good,very good,-,very good
i use these for household chores and they work well have purchased several times and will buy again recommend,-,good,good,-,good
"i wish there was a small variety pack with all 3 sizes so i could find my best fit these worked great except for working with the small soft pills i had to break up for my cat fingers were a little loose
for bigger tasks they save alot of cleanup",-,very good,-,-,very good
i have small hands  a medium is hard to get on very thin so easy to tear,-,-,-,-,-
pantry staple heavy duty and a generous roll,-,-,-,-,-
excellent wish it was non stick heavy duty,-,very good,-,-,very good
what i like about this is the fact it works without any non stick spray and thick enough not to rip  nice choice,-,neutral,-,-,neutral
bought it as i have an airfryer oven and i cook a lot these are good quality and easy to use it also keeps my place clean/my appliances clean by not letting the grease seep everywhere,-,very good,-,-,very good
i use both parchment sheets and reynolds  both are good but the nonstick roll is much more versatile,-,good,-,-,good
what happened to the thickness? oh yeah inflation,-,-,-,-,-
like that the foil lines the wire air fry basket  use same piece foil over and over,-,good,-,-,good
fivestar seller good product fast delivery and will be a return customer,-,good,good,-,good
"i recently discovered the scotchbrite disposable toilet cleaner scrub and i must say it has completely transformed my cleaning routine this product deserves all five stars for its exceptional cleaning power convenience and overall effectiveness

first and foremost the cleaning power of this scrub is absolutely outstanding it effortlessly tackles even the toughest stains and grime in my toilet bowl leaving it sparkling clean and fresh the abrasive texture of the scrub allows it to remove stubborn residue with minimal effort saving me valuable time and energy

one of the standout features of the scotchbrite disposable toilet cleaner scrub is its convenience the fact that it is disposable means i dont have to worry about cleaning and storing traditional toilet brushes which can be unhygienic and cumbersome with this scrub i simply use it once and dispose of it ensuring a clean and germfree experience every time

the design of the scrub is also worth mentioning it is ergonomically shaped making it easy to grip and maneuver even in hardtoreach areas the handle is sturdy and provides excellent control allowing me to clean the toilet bowl thoroughly without any hassle

furthermore the effectiveness of this product is truly impressive the scrubs cleaning agents are powerful yet gentle ensuring that it doesnt damage the porcelain surface of the toilet bowl it effectively eliminates odors leaving behind a refreshing scent that lingers after each use

lastly the value for money with the scotchbrite disposable toilet cleaner scrub is unbeatable the pack comes with multiple scrubs giving me an ample supply that lasts for a significant period considering the excellent performance and convenience it offers the price is more than justified",very good,very good,very good,very good,very good
works great as expected,-,very good,-,-,very good
works great better than traditional toilet scrubbers,-,very good,-,-,very good
we have these in 3 bathrooms they clean well and buying in bulk like this is a good value good 3m product,very good,very good,-,-,very good
"been using these for past few years in both bathrooms quick and easy i like so much better than a brush
i have to sanitize",-,-,-,-,-
easy,-,-,-,-,-
ive been using these for a few years now they make toilet cleaning easy when i order bulk through amazon theyre cheaper than the box stores,good,-,-,good,good
it is designed weill but i woiuld of paid more for metal   this is all plastic/pvc,-,-,-,neutral,neutral
great paper towels for the dispenser better than a hung type dispenser as when you pull on it the entire roll doesnt come off the holder,-,-,-,-,-
i like them for the convenience,-,-,-,-,-
they dont absorb as i would like but does serve its purpose in the bathroom,-,-,-,-,-
nice dispenser so so on the paper towels thin rough not very absorbent,-,-,-,-,-
the paper towels absorb well good product,-,very good,-,-,very good
easy to put up and use  looking forward to saving on towels with less waste than the trifold paper,-,neutral,-,-,neutral
they not the same no more they doesnt come out one at a time making me to use morewhen pulling one before it break about 3 or 4 come out that we dont use i am searching for a better kind i order some previously they was doing this thats why i changed to george pacific is these the same ones yall slipping on me for higher price,very good,very good,very good,-,very good
suppose to be center pull paper towels so the rolls came with a center cardboard tube like toilet paper so you have to rip it out not terribly difficult but you lose a few sheets in the process works though,-,neutral,-,-,neutral
this is by far the best bleach clean up spray so if you want to stop spending money on that other expensive brand that starts with the letter c then you need to buy this this works great smells clean and will leave your kitchen sink bathroom shower bathroom sink and toilet looking super clean and white i love it because it has bleach and it kills germs there is another name brand out there “c clean up” we all know it we have all spent money on it but it seems like after the pandemic started it is very expensive now last time i was at target i seen it for 550 a bottle thats just ridiculous for a bleach cleaner i dont write many reviews but i thought i need to write on for this stuff i thought all the moms  dads out there need to know about this,very good,very good,very good,very good,very good
my cleaning lady needs this but its a little expensive than what it is worth but i bought it anyway so i dont have to go to the store long with other items from amazon,good,good,-,-,good
seems to work ok  should have read more specifics has a strong bleach smell but doesnt appear to be a disinfectant,-,good,-,-,good
i am so in love with this cleaner it cleans and sanitizes everything it takes rust off of sinks and takes dark spots off the bathtub just spray and leave it for a few seconds and it works like a charm and so far has not stained my rags and leave a fresh clean scent in my bathroom and kitchen for a few days takes mold off as well i just love it,-,very good,-,-,very good
i have used fantastic over the years and it has always been a good product i especially like this one because of the bleach i clean the bathroom everyday and it makes a breeze the product does what it says i highly recommend it,-,very good,-,-,very good
let it sit for a minute and it does the job for you,-,-,-,-,-
package package came packed perfectly nice and clean no spills this is a good one you can smell the bleach and it works i put a dirty white cloth in a bucket i let it sit for a min came back the cloth was clean i put that same cloth in the wash an it came out with strains so the wash strains came out an the other stains i put on it came out it cleans the bath nice too i will be buying this from now on i have to have bleach in my life sometimes i need the spary so this is perfect for me i recommend this fantastic bleach spary,-,very good,very good,very good,very good
excelente  producto realiza su cometido quita lo  sucio de paredes de los baños  incluso  de los toilet lo compraría de nuevo,-,-,-,-,-
very good price very good product,very good,very good,-,-,very good
"forks are well made and sturdy
had no issues with them at all ",-,-,-,-,-
these forks were made wellthey are a quality product that add a touch of elegance to your table,-,good,-,-,good
as expected heavy duty will buy again,-,-,-,-,-
very sturdy,-,-,-,-,-
durable and cost effective,good,-,good,-,good
you get what you pay for and these forks are very much worth it the forks are durable and are not prone to snapping/breaking very good product,-,very good,-,-,very good
i recently purchased the 300 clear plastic forks and im happy with my purchase these forks are heavyweight and look elegant making them great for my office use however since they are disposable they are not the most environmentally friendly option overall they are a good value for the price,very good,very good,-,-,very good
"these brushes are very soft yet super effective i reuse starbucks coffee bottles because i make my own starbucks with just a few simple ingredients which saves me a ton on my favorite coffee drinks

in a 137oz bottle fill to 1/3 with hot water add 1tbsp instant coffee 1tbsp hersheys chocolate syrup stir 1 squirt liquid stevia sweetener 1/8 tsp vanilla extract stir fill up with milk seal and shake instant starbucks mochas at a fraction of the original price",very good,very good,-,very good,very good
"these brushes clean my 64oz jugs perfectly it gets deep down where you are able to get those unreachable corners at the bottom of your jug i get every inch form the inside to the outside then sturdy and does what needs to be done

will purchase again",-,-,-,-,-
the zojirushi mugs are particularly skinny i ordered these because the listed width was just under the mouth diameter of the mugs and the bristles looked like they would stand up to use i was not disappointed i only drink black coffee so im pretty lazy about rinsing out my mug immediately after the first use i could see the shiny mug bottom again other bottle brushes i have tried were either too soft or had touch skinny bristles that didnt seem to do much,-,very good,-,very good,very good
i am with the other reviewers the handle is way too flimsy i could use something a little bit longer to get down to the bottom of my milk jugs this makes it to the bottom but then the handle bends and makes cleaning difficult,-,poor,-,-,poor
works as described,-,neutral,-,-,neutral
perfect for cleaning the jugs i ordered to make my fridge look “esthetically pleasing”lol they are pretty tall  regular bottle brushes do not reach the bottom,-,-,-,very good,very good
just like the title says my wife is a surgeon so therefore if she slices her fingers or damages her hands we dont eat obviously overdramatized as a gent married to a successful and very busy md i had to come to grips with my masculinity therefore i wash the wine glasses help around the house gents,-,very good,-,-,very good
the bendable neck is great,-,-,-,-,-
i have tried many different battery brands over the years duracell is my battery of choice yeah its a name brand duracell has always been a powerful long lasting top performer for me i would rather pay a little more for the peace of mind that duracell provides keep your budget batteries for me they are not worth the small savings compared to their inferior performance just my experience and opinion its hard to beat duracell,-,very good,-,-,very good
just a battery,-,-,-,-,-
the batteries last a long time,-,neutral,neutral,-,neutral
duracell batteries may be a hair more expensive but theyre definitely worth it we try not to use too many batteries but smoke alarms and electronics demand them so we like the quality and longevity of duracells,very good,very good,-,-,very good
good product for the price,good,good,-,-,good
excellent ,-,good,-,-,good
long lasting,-,neutral,-,-,neutral
work great trusted brand not much to say,-,very good,-,-,very good
this bag is a perfect size for composting in the kitchen its small enough that you can put it in a small trashcan but big enough that it can hold a chicken carcass or a lot of vegetable trimmings since we are required now to put our food waste in the green trash this is the perfect answer to keep bugs and flies out of the food trash outside while it is waiting to get picked up,-,-,-,-,-
we have a lot of small trash cans throughout the house  in bedrooms and bathrooms in the past wed always use grocery store plastic bags in them now that we have to pay for those we purchased these if we have to pay for bags we might as well pay for ones that are better for the environment these fit all the trash cans  maybe even a bit big they hold up fine in the trash can but i would not use them for heavy liquid or pokey things as they can easily tear would purchase again,-,very good,-,-,very good
i bought these to line my various sizes of room trash bins they work great the other reason was to line the drawer of my litter robot they work great how ever i have to stretch very carefully and double bag but it works great they do rip easy but they are biodegradable and i feel better using two than the expensive ones that come with the robot,very good,very good,-,-,very good
i use the bags for office bathroom and sewing room they are big enough and great but for my 92 years old aunt bathroom they break if you fill it out of diapers thats why i gave four stars,-,good,-,-,good
use these when scooping litter box they hold up well and seem to be good for the purpose the price is good compared to other products ive viewed,very good,very good,-,very good,very good
"to be honest
i was hesitant because of all the bad reviews i took a chance anyway because it just made sense for the money and sooo happy i took the chance 
it is a sturdy bag  i love the color it works for what i need  and i love the fact that i get more bags for the money than the brand names ",very good,very good,-,-,very good
these bags are great biodegradable and more affordable than bags at store i use them only for the small bathroom and bedroom trash cans so nothing heavy or wet goes into them,very good,very good,-,-,very good
no issues to report after 1 year of using these  they work great no breaks or anything like that  all my fears were put to rest  awesome they are plantbased and biodegradable  a huge benefit,-,very good,-,-,very good
i make salads fir my wednesday league and these 4 oz cups w/caps are wonderful just the right size  i got 200 for the price of 3 pkgs of 25 from walmart  awesome,very good,-,-,-,very good
we use these to store and freeze homemade pizza sauce we make in bulk  these cups are easy to use close securely and even freeze well  we store the cups in the freezer and pull out the necessary amount of cups when making homemade pizza  they thaw in the fridge and are ready to use at dinner time  we also use these to make individual portions of homemade no bake cheese cake cups  the perfect size for a quick snack  these are easy to use the caps snap on with no issues they freeze well and are the perfect size for our needs  would recommend them,-,very good,very good,very good,very good
i ordered these to make jello shots for a cinco de mayo party theyre the perfect size super sturdy and come in a large quantity pack super markets around me dont sell anything nearly as large as a 200 set so this was actually the cheapest and easiest method all the lids fit perfectly and i didnt have any issues,very good,very good,-,-,very good
my mom and i used these as sauce cups for a big catering the quality was better than expected its not thin at all could be reusable if washed probably lids are spill proof and seals the cup nicely sizes are true to size theyre perfect for sauces dessert or snacks,-,very good,-,-,very good
these are surprisingly sturdy and the lids snap on well  perfect for what i needed,-,-,-,-,-
will work well for samples,-,good,-,-,good
i ordered these along with other items to use for a teen birthday party at an outdoor location  previous reviews were somewhat mixed but the majority were positive  my order arrived quickly and im extremely happy with my purchase  gently press the lids down onto the container for a tight fit,-,very good,-,very good,very good
no arguments on who got more of what smiling face with smiling eyes,-,-,-,-,-
i bought a bulk package so i could keep these everywhere  kitchen each bathroom even in the car i recently learned that theyre even good for keeping white sneakers looking clean the price  quantity is what this particular listing was my pick,very good,very good,-,very good,very good
these take marks off of everything  sometimes i use it dry and sometimes i get one wet  it gets off things that wouldnt come off with a cleaning solution  its great with scuffs on walls because its so gentle  shipped quickly and price was good  will by again,very good,very good,very good,-,very good
used on old outdoor white shoes and was amazed  also took gunk off from trees that had collected on yellow top of recycling cart its yellow again one issue it does shed small pieces,-,very good,-,-,very good
i use this for my tubs and it works good,-,good,-,-,good
never used one before and needed something to clean my shoes without scuffing them up these worked very well and just one can last a while also used it to clean my windshield and it looks spotless the sponge doesnt stain either just rinse it out and youre ready for the next cleaning task the pack of 10 is nice for the price honestly love this purchase and highly recommend to anyone,very good,very good,-,-,very good
please do not pay for the magic erasers title ever again these are such good quality and work exactly the same the price is more affordable and fair than the namebrand items i keep these stocked along with my cleaning items and recommend them for any busy family with kids/pets,very good,very good,-,-,very good
these arent as great as the original magic erasers but they still get the job done,-,-,-,-,-
theyre okay,-,-,-,-,-
"these melemine eracers are so much better than any other that ive tried especially than a certain mrs these have much more magic than those

so much more durable so much thicker and so many more for a 10th of the price of magic mans erasers

often i end up cutting them in half and they still last so long

 if i want a little extra clean i  what them and rub them on  a regular bar of white soap just a little bit and it cleans amazingly well
great for cleaning kicks/sneakers/tennis shoes  especially the white sole

when i want a little more clean i will  wet and rub on a bar of lava soap

some people like to add dish soap but i find that its too sudsy and i feel like i have to clean up after cleaning up

then there are times when i want to clean off electronic things like wires  the metal parts of plugs  i unplug first from electricity then i use rubbing alcohol instead of water to get them wet and it works just as well and i dont have to worry about rusting anything and it dries really quickly

i dont use them for tv computer tablet or phone screens  i found that with alcohol it almost makes them too clean if that makes sense",very good,very good,very good,-,very good
i have used these for a couple of years now and they are so much better than the magic eraser  nice size and dont fall apart  i keep these in stock at all times and use them to clean my sinks my tire rims and they are awesome on the boat,-,very good,very good,-,very good
i had to buy this right after our dryer got ink stains all over it amazingly works wo well with stain just with water this is actually a life saver for me since we are living in an apartment for now and i have a toddler that draws any pen or pencil she holds in almost everywhere,-,good,-,-,good
works like the mr clean magic eraser without the price tag very thick sponge,very good,very good,-,-,very good
as someone that genuinely has ocd i tend to go through a lot of cleaning productsspecifically erasers i was hesitant to try non name brand erasers especially after reading some reviews but i am so glad i did these hold up way better to tougher jobs and at a fraction of their counter parts 10/10,-,-,-,-,-
love cleaning with these i just hate how they flake apart and leave a white dust on some surfaces and on my hands,-,neutral,-,-,neutral
this was my 3rd time ordering and i will continue to do so excellent price and no different then the name brand if you ask me,good,good,good,-,good
they seem to break really easy i actually think maybe the cheaper ones would work better i dont know these are just too thick and they break super easy,very good,very good,-,-,very good
i ordered the yocada b098dx1vd6 1699 and the clean home b09gf2lsz8 for 1899  i would venture to say these are made in the exact same factory  yocada may have slightly stiffer bristles but my husband and i disagree on this  make your choice based on color aesthetic and if you value the microfiber cloth  that is the 200 difference clean home packaging has more colorful packaging with nice promo material within  the only reason i did not give 5 stars all the way is that i wish we it could be shorter which would make it even easier for me to clean the free standing tub  it is the length that was advertised  because i wanted the microfiber preferred the orange color and appreciated the better packaging to give as a gift i kept the clean home version  but you cant go wrong here either,very good,-,-,very good,very good
i used this for stripping my vinyl floors before waxing  it was fantastic  i got the floor brush also they came in a bundle which i almost didnt need except that the floor brush has a great squeegee side for wiping the stripper off the floor  as for scrubbing i actually preferred the tub brush  i decided to get them both to use the tub brush for hard to reach places like behind the toilet in corners and under cupboards  it worked great for those areas but also great everywhere else  ive got a good system now for stripping and waxing my floors every 6 months  and now i will probably actually do it every 6 months,-,very good,-,-,very good
i bought this because i could no longer bend over to scrub my tub its sturdy and does a great job would recommend,-,very good,-,-,very good
i was skeptical when buying but this is a quality product really good for those hard to reach areas behind my hot tub,-,good,-,-,good
this brush is really great the handle is super sturdy and the two scrubbing pads that come with it stick well,-,very good,-,-,very good
easy to put together has everything you need i attached a microfiber rag to clean a huge mirror in the bathroom is hard to use in corners you just have to play with it and turn it to clean that specific area i wish it had the corners cover with the sponges so it gets those corners fast but overall its pretty good and my back didnt hurt after cleaning two bathrooms,-,very good,-,very good,very good
velcro easy to use the pads are easy to clean the pads dont rotate when your trying to clean a specific area like some i tried i would recommend,-,very good,-,-,very good
i really like this for cleaning my shower it makes it so much easier,-,-,-,-,-
church members like the sturdiesence of them,-,-,-,-,-
its all we use,-,neutral,-,-,neutral
this was a repeat order  i usually buy this brand,-,-,-,-,-
i love png products but if you dont have a coupon they are expensive overall they are a good napkin though,very good,very good,-,-,very good
towel is a towel,-,-,-,-,-
see above,-,-,-,-,-
good product,-,good,-,-,good
you priced these napkins too high,neutral,-,-,-,neutral
took out the wrinkles on the car covers that it was used for without me having to ironnthem,-,neutral,-,neutral,neutral
"weve got 2 cats and 1 dog all of whom shed a lot and this is the only product that removes close to all of their hair  i say close because occasionally i find a hair interwoven in one of my sockswinking face

 they do pretty well with wrinkles but i try to fold everything as soon as the dryer shuts off so your mileage may vary

the one area where i do have a problem is the heavy scent on our last orderi dont remember any of our previous orders to be scented so strongly so i may have ordered the wrong scent without realizing but they needed to be aired out before we could stand them",-,poor,-,-,poor
this was a great buy  good product,-,very good,-,-,very good
"i dont know how many different brands or scents i have tried over the years
even the “ new up to date beads”

nothing comes close to comparison

seriously
• wrinkles gone
• scent fresh and clean for weeks and weeks
• fabric softness exceptional

  the first time i tried these there was no going back
  these are leaps and bounds above anything else i have ever tried
  i have a daughter who has very sensitive skin she can not use the majority of detergents dryer sheets soaps etc
  i do her laundry use these fantastic dryer sheets and she has never had even the slightest problem
  i have told friends and family about them those that tried them were so happy with them that is all they will use

try them i am sure you will love them as i do

if not return them and get your money back

how can you not try them knowingly they can be returned for a full refund

no need to thank me glad i could helpwinking face",very good,very good,very good,-,very good
works well,-,good,-,-,good
love love love,-,very good,-,-,very good
worked great just ran out super quick the sheets inside the box are longer,-,very good,-,very good,very good
i love everything about this bounce wrinkle free scented extra large fabric softener sheet and its the only one i use,-,very good,-,-,very good
so pleased with the results i wish i had photographed a ‘before photo of the dingy discoloration from years of shower usage we bought our home a few years ago and the dingy discoloration already existed i have scrubbed and cleaned the shower floor with many things to no avail i recently stopped in home depot to look for some other cleaner that might work i saw an inexpensive pumice stick read the box and decided to give it a try with firm scrubbing in a small area i saw whitening the pumice stick does not last long it breaks down as you scrub with it i went online to amazon and ordered this set of six i used 1 and 1/2 more sticks to get the shower floor to where i was satisfied with the level of whiteness since my shower floor had a pattern and tiny groves it was harder for the pumice to reach down in those tiny patterned groves i used a scrub brush and scrubbed all the residual pumice that was powder now into those grooves that did the job this job did not take too long but i did use all my strength to scrub just read what pumice can be used for sonce it is abrasive,very good,very good,-,very good,very good
these are fantastic for cleaning toilet bowls they easily and quickly remove hard water deposits and the black stuff that a plastic bristle brush and cleanser will not no nasty chemicals go into the water system they are consumed during use i would say they are good for 3 uses on moderately funky toilets,-,very good,-,-,very good
these totally removed stains from our very hard water without scratching the porcelain will continue to use the pack i got however would recommend the ones with a handle over without,-,good,-,-,good
"it worked great amazing price  like 7 for the 6 pack but the noise is of course horrible that it makes when using it might not bother some people but i pushed through it
used it on rust spots on the sink got them off great i even used it on a plate with rust from a metal bucket that was on it and got it off highly recommend",very good,very good,-,-,very good
good price and works well,very good,very good,-,-,very good
the pumice stone god all the iron stains or whatever it was that staining my toilet and it did not scratch the porcelain,-,-,-,-,-
i keep these in both bathrooms in my house to get rid of hard water stains in my toilets great product and easy to use,-,very good,-,-,very good
cleaned years of calcium build up on the inside of my toilet bowl,-,-,-,-,-
dixie paper plates have become a staple in my household and i like their durability these 10 1/16inch dinnersized plates are perfect for serving meals and can handle heavy portions with 44 plates in each pack and five packs included they are a convenient and reliable option for any gathering,-,very good,-,-,very good
save me from using dishes and my dishwasher,-,-,-,-,-
very sturdy,-,-,-,-,-
we cant buy these anywhere so we order them very good paper plate,-,good,-,-,good
have used these plates for awhile very good for price and quantity,good,good,-,-,good
until the price almost doubled was paying 21 at the beginning of 2022 needless to say that i am not going to buy any more,neutral,-,-,-,neutral
plates r nice,-,-,-,-,-
very sturdy and strong plates design is pleasant to look at also,-,very good,-,very good,very good
my wife order these to use with our keirg coffee maker and while i would have preferred her to order wooden stirrers these do work well they are sturdy rigid and dont bend or break when you use them they are inexpensive and work well with my only gripe being they end up in land fill and dont degrade like a wood stirrer would,good,good,-,-,good
super durable doesnt melt with my hot beverages the order has a lot and lasts long,-,good,-,-,good
i currently only use these for cocktails on a home bar they work great for the chilled drinks,-,very good,-,-,very good
use for super tight curls for dolls restyles,-,good,-,-,good
they are the same stir sticks that would be in any coffee shop,-,-,-,-,-
perfect addition to my coffee bar at home sturdy and the perfect length,-,-,-,-,-
items as expected,-,-,-,-,-
they were not made cheap,neutral,-,-,-,neutral
"these are the best eco friendly paper plates ive found by far sturdy hold juices from food items well without quickly leaking through great size great value

and eco friendly win win win win smiling face with smiling eyesparty poppertwo hearts",very good,-,-,-,very good
we used to buy chinet plates however the last batch changed and stuff leaked through them  these were better very little leaked through  so far i like them and will purchase again,-,good,-,-,good
i love it and i work here to,-,very good,-,-,very good
these work great for us  i have had success in microwave too  though limited “testing”  i am shying away from other polished color commercial types,-,very good,-,-,very good
being reired we are tired of spending a lot of timne washing dishes  so we use paper plates almost exclusively  we like that these are made from the waste product from manufacturing sugar from sugar cane,-,poor,-,-,poor
i recently purchased the 100 compostable paper 10 inch bulk 125pack and im really happy with my purchase this is actually my second time buying this product because i was so impressed with it the first time the fact that these plates are ecofriendly and made of sugar cane fiber is a big plus for me i appreciate that theyre heavyduty and dont easily bend or tear which makes them perfect for serving food at parties and events the only reason im giving this product 4 stars instead of 5 is because i found that some of the plates were a bit difficult to separate from each other overall im really satisfied with this purchase and i would definitely recommend it to anyone looking for a sustainable and highquality disposable plate option,-,very good,very good,-,very good
we just used these last night and they held up very well not only are they pretty but sturdy we had pork chop and hamburger on plate and held up very well cut with knife and help up very well love these plates will buy again,-,very good,-,-,very good
we only use paper plates for large family gatherings but have always felt bad about the ecological waste  these are added right to our regenerative garden  they are also great paper plates  they dont get soggy or fold easily,-,neutral,-,-,neutral
"required for impatient 3 year old grandsons toy prompt delivery essential

note powers a toy firetruck siren grandson  grandad pleased parents less so grinning face with smiling eyes",-,-,very good,-,very good
used the batteries to replace old batteries,-,neutral,-,-,neutral
well worth the pricewill buy them again,good,-,-,-,good
was supposed to be a pack of 40 but the package only had 39 the batteries work great tho,-,very good,-,very good,very good
i love the packaging these come in super easy to pop just one or all 8 out at once the back is perforated so you can take a whole section out if you want or each individual battery can be taken out of the back kind of like medicine the batteries are great and fit my dogs light up collar perfectly definitely would buy again,-,very good,-,very good,very good
i find it incredible to be able to see an add about something to improve my health and three hours later its at my door step,-,-,-,-,-
very nice package to hold batteries,-,-,-,good,good
"got delivered fast and the batteries are great
a little hard to get out the package but other than that great",-,-,-,very good,very good
so much better than any other mop on the market the mopping surface is considerably larger than other mops so that it covers a broader area with each sweep i use the dust “attachment” first to push away any loose bits then dampen the mopping cloth and use it with bona cleaning solution to complete the job i would never use a “paper” mop system again after using this,-,good,-,good,good
works very well,-,good,-,-,good
i like the older model better,-,-,-,-,-
we received a mop that had a defective handle that broke the second time we used it  contacted bona  they had a replacement at my door in a week at no cost to me love the mop and the customer support,neutral,neutral,neutral,-,neutral
grandma love it lightweight and comfortable,-,very good,-,-,very good
large mopping area on mop and pads i use a homemade solution of water drop of soap vinegar and alcohol for a streak free finish works well for me so far mopping has been easy moving with the mop head,-,very good,-,-,very good
while at the hospital with my husband i noticed how efficient this mop s every housekeeper used one so i ordered the bona version it and i love it my laminate never looked better,-,very good,-,-,very good
i ordered a different product that would get taller but its probably good if you are short on space or need it for taking to peoples homes because it compacts pretty small,-,very good,-,-,very good
ive been using these for leaves theyre huge i like that since i dont have to fill up as many bags when im stuffing in the leaves and they dont break when i drag them across the yard or up the concrete driveway,-,-,-,-,-
locally i could not find a trash bag large enough to fit my trashcan this is great,-,-,-,-,-
would have got a 5 if the were attached in a roll but great strength and size,-,-,-,-,-
ever since weve been using these trash bags we havent had any breakage or spills of any kind once trash has been put inside them  well constructed,-,-,-,-,-
first time using these trash bags i must say they didnt disappoint i ordered them because i moved and i was cleaning out the house moved from house to apartment trashed everything happy customer,-,very good,very good,-,very good
construction type bag heavy duty nice deal would order again  again you get 50 and its 56 gallons for what 24 cant beat that at all just like home depo or lowes ones  pretty kichb,-,-,-,-,-
greatness  im glad l bought this product,-,-,-,-,-
i mean like in the way that the bags are so big you will be able to absolutely trash your trash or make big bags of girthy donations 5 stars would trash again,-,-,-,-,-
love this stuff it keeps the hard water from destroying my dishwasher over time it will remove hard water build up as well i use half dishwasher powder and half finish booster,-,good,good,-,good
we have very hard water  always had spotty dishes this has made a difference making my dishes come out super clean and spotless also made a difference inside my dishwasher helping it become so much cleaner inside,-,very good,-,-,very good
we have extremely hard water and there always seems to be spots on my glasses after a wash i havent seen any of those spots since i started using this one star off because this isnt a whole lot of product despite the small size i will probably buy another bottle,-,-,-,neutral,neutral
our water is so hard and full of lime and calcium that weve been through numerous coffee pots and 3 dishwashers in the past 4 years its insane nothing weve purchased has made a dent in the buildup then i tried finish for hard water and boost they were sold as a pack after a month of using both the detergent and filling the prerinse cup with boost the inside of our dishwasher shines like its brand new ive been amazed our dishes come out cleaner than any other detergent weve used this is an incredible product for a great price,very good,very good,-,-,very good
if you have hard water this is the only thing that will make your dishes spotless ive used it for years it also prolongs the motor in your dishwasher it keeps it clean,-,good,-,-,good
i have hard water and my dishes looked awful before i started buying this i will not run my dishwasher without this anymore the dishes now look so sparkly and clean i cant find anywhere locally so i make sure my subscription comes in to not run out,-,-,-,-,-
we have public water but it is still kind of hard and i would have a film i all my dishes when washed in the dishwasher and glasses never looked clean even when using the rinse aid in the dishwasher this is amazing and i no longer have a film or spits left in any dishes glasses all look clean,-,poor,-,-,poor
if you put stainless steel cookware in the dishwasher i never used to and the inside bottoms come out looking mottled try adding this to the dishwasher holy heck  suddenly they practically sparkle,-,good,-,-,good
"tried these instead of the thinner brown towels made by the same

the case even though being far lower in case count for number of towels has proved to last over twice as long  the better absorbance has allowed for the use of fewer towels bringing the total cost over time down

one thing that i think is worth noting is than when these towels are wet the paper includes a small amount of tiny black/grey fibers that at first glance might appear to be dust from a surface that you wiped but are in fact just part of the paper towel  i wiped that surface more times than i care to admit before i realized this xd",very good,very good,very good,-,very good
